Name,Description,Lat/Lng,Tags,Region,Listing no
"Botallack Mine (Botallack, St Just)","On this westerly tip of Cornwall, framed by the large expanse of the Atlantic Ocean, are the twin engine houses at Botallack Head, set just above the crashing waves. Along with these two ruins there are numerous mining remains running right across the coastline. From the engine house a large shaft descends diagonally beneath the ocean to a depth of 240 metres. For the workers this would have been a precarious way to earn a living, extracting tin from beneath the surface of the sea. Considering the perilous conditions it might seem shocking that this dangerous mine shaft became a tourist attraction. In the 1865 this proved so popular that even the Prince and Princess of Wales came to visit. It seems they were not put off by an accident, just two years before, when a tourist party of eight men and one child fell hurtling to their deaths. Follow B3306 N out of St Just. After Tregeseal, at Botallack village take L fork. Pass Queen’s Arms (TR19 7QG) and turn L at the corner (limited parking), past farm and Botallack Manor. You will see a mine chimney straight ahead, on the coast, and the road becomes a dirt track. There are mining remains to explore all over here but the iconic engine houses stand below the cliffs 15 minutes, easy walk away. There are mainline trains to Penzance and a 10 bus will take you from there to Botallack village (also bus 300 in the summer).","50.1388, -5.6868","[""Good for picnics"", ""Close to parking"", ""Fun for kids"", ""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path""]",Cornwall,1
St Helen’s Oratory (And Cape Cornwall Tin Mine),"When the Ordnance Survey mapped the area 200 years ago, Cape Cornwall relinquished the honour of most westerly point in Britain. For me Cape Cornwall is still the real end of England, a magical place where sky, land and sea meet. All that remains of the tin mine is the ornate chimney at the end of a bracing walk at the peak of the Cape. The most interesting ruin however is St Helen’s Oratory. Tufts of grass and wild flowers sprout from the lichen-covered grey walls of this beautiful and ancient roofless ruin. Its position overlooking the expanse of the ocean only adds to its innate beauty. There has been a place of worship on the site since the 5th century. St Helen’s Oratory is just off the South West Coast Path. From St Just head N on Market Square and turn L at clock to follow the Cape Cornwall road out of St Just. Turn L at large white Boswedden House B&B (TR19 7NJ, 01736 788733). Continue to coast where there is a National Trust car park to L of the ruin or a café with car parking for customers further up the hill.","50.1275, -5.7058","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted"", ""Religious site""]",Cornwall,2
Carn Euny (Ancient Village),"There have been stone structures on this site for the last 2,100 years, with wooden structures pre-dating these by at least a hundred more. It is one of the best-preserved Iron Age villages in the country. The highlight is a 20-metrelong, partly underground passageway know as a fogou. This is a man-made cave made up of large stone slabs over underground stone walls. It is of historical importance, and also a great place in which to shelter. Nearby is Sancreed Clootie Well, 50.1074, -5.6127. Clootie wells were healing places where strips of cloth are tied to a tree, with a prayer. Take a short, often muddy walk W along a footpath opposite Sancreed Church. Take the western road towards St Just for about a mile and a half from Sancreed and follow English Heritage signs. Parking is 600 metres away in Brane 50.1004,-5.6343.","50.1027, -5.6339","[""Good for picnics"", ""Close to parking"", ""Modern ruin"", ""Lovely walk"", ""Amazing wildlife"", ""Wild flowers"", ""English Heritage""]",Cornwall,3
South Wheal Frances,"Often referred to as the Cathedral of Cornish Mining, South Wheal Frances is a must visit. The site is extensive and many of the buildings are incredibly intact giving a good impression of what life must have been like on the site. Although mining began in the early 18th century on the site, it wasn’t until the mid-19th that the mine really saw its heyday. The mine ceased operation towards the end of the First World War when the price of tin plummeted. From Camborne Station take the Trevu Rd SE away from the rail crossing. Continue onto Fore St then L past Methodist Church onto Condurrow Rd. At end of road turn L (Wheal Grenville mine is R), then 1st right. Continue to crossroads, take L then 1st R. Head past Wheal Frances then take R and 1st R to car park.","50.2087, -5.2520","[""Dramatic"", ""Modern ruin"", ""Lovely walk"", ""Cycle path"", ""Ghosts/haunted""]",Cornwall,4
Kennall Vale (Gunpowder Works),"The peaceful Kennall Vale shows little sign of its destructive past. The buildings, nestled among trees, are now home to ferns, ivy and mosses. Things were very different in the early 19th century when this was the home of a large complex responsible for the manufacture of the explosives necessary for mining. In May 1838 a huge accident at the plant saw five mills explode, one after another. Unfortunately, this was not an isolated incident, for there were at least three further reports of explosions throughout the mill’s history, making it a very dangerous place to work. Near Kennall Vale is the mining district of Gwennap, once called the richest square mile in the old world. Of particular interest there are remains at Poldice Mine and Wheal Busy. Kennall Vale reserve is W of the village of Ponsanooth off the A393. Turn down Park Road at the village shop/post office at the N end of the village. Follow lane for 500m before following the rough track R, at entrance to Kennall House. Parking is limited so consider finding somewhere in the village to park, a 20 minute, moderate walk away.","50.1933, -5.1551","[""Good for picnics"", ""Modern ruin"", ""Dramatic"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted"", ""Lovely walk""]",Cornwall,5
Roche Rock (Roche Village),"The imposing ruin of Roche Chapel overlooks Roche village from 20 metres up on its granite outcrop. You can reach the chapel by means of carved stone steps in the side of the rock, via a field filled with bilberries in late summer. Story has it that Jan Tregeagle, a sort of Cornish Faustian figure, while trying to escape demon guards got caught with his head inside the chapel’s window but the rest of his body stuck outside. His head was in the sanctuary of the holy building but the rest of him was at the mercy of the demons. After he had suffered days of torment, a local priest was forced to remove him with the help of two saints. Although a fascinating fable it does beg the question why he came in through the window when the door is a much easier form of entry? The site features in many climbing guides and is suitable for all levels of climber from beginner to expert. From Cornwall Services on the A30 take the B3274 heading W to Roche, Victoria and the station. After 1¼ miles turn left to stay on the B3274 towards Roche and St Austell. 2nd exit at the roundabout in Roche past the Temperance Hall. Continue over second roundabout, 2nd exit and pull in to the lay-by 200m on the L near the sports ground. Walk through car park, along football pitch then follow paths into the field where Roche Rock is situated. If a match is on, walk via the road, to the footpath off the Bugle road (L at the roundabout).","50.4020, -4.8312","[""Fun for kids"", ""Difficult path"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""Dangerous"", ""Religious site""]",Cornwall,6
Wheal Coates (St Agnes),"The iconic cliff-top engine houses and processing buildings at Wheal Coates tin mine are some of the most dramatically located and best preserved mining buildings in Cornwall. There has been mining at the site since prehistoric times but modern mining began here in 1802 and at its peak it employed 138 men and boys. At low tide it is possible to explore the old mine shaft beneath the engine house via the large sea cave on Chapel Porth beach. To the north west of the ruins, on Tubby’s Head headland, a blow hole in the cliffs forces sea water to spray out, like a surfacing whale. Don’t be tempted to peer down the hole as the water can spray out at speeds approaching 100mph! Head N from St Agnes on the Trevaunance Rd, drive past the white cottage of the Beacon Cottage Farm touring park and pull into the unmarked car park on right. The ruins are 5 minutes walk toward the sea. Or park at Chapel Porth beach and walk N on the coast path 10 minutes.","50.3059, -5.2327","[""Dramatic"", ""Modern ruin"", ""Foraging"", ""Fun for kids"", ""Difficult path"", ""Amazing wildlife""]",Cornwall,7
Ding Dong Mine (Bosiliack),"Ding Dong mine is reputedly one of the oldest in Cornwall having been worked since Roman times. Greenburrow engine house is the most prominent part of the mine and stands tall amongst the wild desolate Cornish landscape. The mine shaft is grated over but you can look down it and get a sense of its depth. The engine house seems a little unloved in this remote and out of the way location. To the south you will find the ancient stones of Lanyon Quoit. Ding Dong is a difficult drive down a labyrinth of windy Cornish lanes. From the A30 in Penzance take the turning onto the B3312 towards Madron and Heamoor. Just over a mile from Madron take the R fork off main road to Bosiliack. Head up until road runs out and park on the L. Pull in at 50.1510,5.5883. Here follow track until a footpath to the engine house branches off to the left.","50.1543, -5.5929","[""Dramatic"", ""Modern ruin"", ""Lovely walk"", ""Cycle path"", ""Ghosts/haunted"", ""Extra remote""]",Cornwall,8
Chysauster (Ancient Village),"Set on a hill, Chysauster is one of the best preserved Iron Age settlements in Britain, with superb views across the countryside and the coast. It is believed that people settled here around 100BC and would have remained in this area through a good proportion of the Roman Occupation. Around ten of the site’s distinctive stonewalled buildings known as courtyard houses remain, eight of which would have made two ‘streets’ running alongside each other. Visitors can enter the man-made underground cave or fogou at the site. Chysauster is an easy drive from Penzance and signposted off the B3311.","50.1587, -5.5439","[""Good for picnics"", ""Close to parking"", ""Lovely walk"", ""Wild flowers"", ""English Heritage"", ""Pay to enter""]",Cornwall,9
Luxulyan Valley (Blazey),"In its 1920s guide to the area, the Great Western Railway described the Luxulyan Valley as “one of the most glorious walks in all Cornwall”. Not much has changed since then, and walks around this ancient wooded valley are still enchanting. A hundred years before the GWR guide was published, Joseph Treffry inherited the site and began to develop it, exploiting much of its mineral wealth. Among other things he developed the harbour at Par, had a canal created, built the large dual-purpose viaduct and aqueduct, developed the existing granite quarries, built leats, or artificial streams, to power large water wheels and set to work on a mineral railway. The aqueduct still bears his name. The Treffry Viaduct is just under a mile from Luxulyan station by road or footpath. It is just off National Cycle Route 3. 3 miles NW of St Blazey, off A390. Heading N on A390, turn L to Ponts Mill and car park.Or for a short walk to the aqueduct, stay on A390 for a further ½ mile turning L just before row of cottages. Continue for a mile until to car park on the L just before junction.","50.3808, -4.7298","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted"", ""Cycle path""]",Cornwall,10
