region,listing_no,listing_title,point_name,point_type,latitude,longitude,os_grid_ref,access_notes,description,category
The Paris Meridian and the North,1,Amiens Cathedral,Amiens Cathedral,main,49.8944,2.3019,,,"One of the glories of the golden age of cathedral-building, Notre-Dame d'Amiens is the biggest Gothic cathedral in France. The exterior is covered in magnificent carvings, including fantastical creatures and what some have interpreted as alchemical symbolism. The airy and soaring interior is illuminated by a great number of lofty, stained-glass windows. Amid the statues and tombs of eminent individuals the most conspicuous and enigmatic feature is the immense labyrinth laid out on the floor of the nave. It is octagonal in shape and made up of black and white stones. Labyrinths are found in other medieval cathedrals, most famously Chartres, but their purpose is a mystery. While they're conventionally explained as symbolising Christ's path to the cross, others see a deeper meaning. Amiens' labyrinth was erased in 1825 as it was thought to be a distraction to worshippers, especially children, but happily it was restored 70 years later. Amiens became a centre of pilgrimage when what was reputedly the head of St John the Baptist was installed there in 1206, after having been looted from Constantinople during the Crusades. The head, which is on display in the Treasury, is set in a silver-gilt reliquary with a crystal cover and remains the cathedral's most famous relic. The cathedral lies on the Meridian of the Gauls and is only 2km from the Paris Meridian (see Paris Observatory).",sacred buildings
The Paris Meridian and the North,1,Amiens Cathedral,Trailhead Parking,trailhead,49.8965,2.3008,,€€ 200m,Trailhead / parking for Amiens Cathedral (200m).,sacred buildings
The Paris Meridian and the North,2,Paris Observatory,Paris Observatory,main,48.8368,2.3365,,Currently Closed For Renovation; Metro Denfert-Rochereau,"This elegant baroque-style building set amid beautiful gardens was one of the first astronomical observatories ever built in Europe, a landmark in the Scientific Revolution of the 16th and 17th centuries. Yet beneath the surface there are clues that magical knowledge, including an awareness of sacred geography, played a part in its foundation and the establishment of the Paris Meridian, which cuts through the building. The meridian, a straight line between the north and south poles, was fixed by a group of French scientists and scholars on the summer solstice of 1667 as they were laying out the observatory's foundations. It was used as the prime meridian for maps, navigation and timekeeping in France and its colonies for nearly 250 years. Some of the surveying of the line to the south wasn't completed until the early 1800s, when the astronomer and freemason François Arago followed it through the Languedoc and Spain to the significantly named Sa Dragonera, just off the coast of Majorca. In 1994, a series of 135 bronze medallions marking the path of the meridian were set into the streets of Paris as a memorial to Arago. Visit the great hall on the observatory's second floor and see the meridian marked with a brass line, over 30m long. At this location, astronomer Giovanni Cassini and his son are said to have traced the sun's path through the year from solstice to solstice by projecting a circle of sunlight through a small opening. Observations were finally completed around 1730. Before he died in 1712, Giovanni Cassini described the meridian line as the 'oracle of Apollo'. Like all such zero meridians its position was seemingly arbitrary, chosen only because that's where the observatory was to be built, and its purpose purely practical. However, patterns on the landscape made up of alignments between medieval and even more ancient sites, such as those around Rennes-le-Château and Rennes-les-Bains in the Languedoc, include the Paris Meridian in their geometry. These sites long pre-date the official fixing of the meridian, indicating that it was known about in past ages. The term 'Rose Line' is now often used to refer to the older, more mystical aspect of the meridian. It was popularised by Dan Brown in his 2003 novel The Da Vinci Code, although contrary to popular belief he didn't invent it. Esoteric scholars also discovered the Grand Meridian of the Gauls (also known as the Meridian of the Omphalos (Navel) of Gaul) that was known to the Celts, and possibly even earlier peoples. This 10km-wide band is said to extend from Dunkirk on the Channel coast to the Pyrenees and the Paris Meridian falls within it, passing just east of Saint-Benoît-sur-Loire, regarded by some as the geographical and sacred centre of ancient Gaul. Beneath the observatory, galleries and tunnels go down to the same depth – around 28m – as the building is high. After visiting them in 1871, famous astronomer Camille Flammarion is said to have seen a statue of the Virgin in an alcove, engraved with the name 'Notre-Dame de Sous-Terre'. It bore the date 1671, the year of the Observatory's completion. Although Flammarion didn't mention its colour, the statue shares its name with the Black Madonnas of Chartres Cathedral and Mont Saint-Michel, so may have been another Vierge Noire. While the statue is marked on 19th-century plans of the Observatory, its current location is unknown. The road along the east side of the Paris Observatory is one of the main routes of the Camino de Santiago, the pilgrimage trail to the shrine at Santiago de Compostela in Spain. This section, known as the Via Turonensis (Tours Route) was established during the Middle Ages and is still followed by pilgrims today. They set out from the lofty Tour Saint-Jacques, the only remaining part of one of Paris' most important medieval churches. Now set in gardens, the 54m tower was built in the 1500s and is topped by a statue of St James. The pilgrim way crosses to the Île de la Cité in the Seine, passing Paris' iconic Notre-Dame Cathedral, said to have been built on the site of a temple of Isis. It then heads out of the city along the Rue St Jacques (St James Street) on its long road to join the other trails at Saint-Jean-Pied-de-Port before crossing the Pyrenees into Spain.",other
The Paris Meridian and the North,2,Paris Observatory,Sa Dragonera (Dragon Island),nearby_feature,39.5839,2.3214,,"off the coast of majorca, spain","Some of the surveying of the line to the south wasn't completed until the early 1800s, when the astronomer and freemason François Arago followed it through the Languedoc and Spain to the significantly named Sa Dragonera, just off the coast of Majorca.",wild places
The Paris Meridian and the North,2,Paris Observatory,Tour Saint-Jacques,nearby_feature,48.8578,2.3489,,st james' tower; open may-november; €€,"They set out from the lofty Tour Saint-Jacques, the only remaining part of one of Paris' most important medieval churches. Now set in gardens, the 54m tower was built in the 1500s and is topped by a statue of St James.",sacred buildings
The Paris Meridian and the North,2,Paris Observatory,Notre-Dame Cathedral,nearby_feature,48.8531,2.3497,,on the pilgrim way to the Île de la Cité,"The pilgrim way crosses to the Île de la Cité in the Seine, passing Paris' iconic Notre-Dame Cathedral, said to have been built on the site of a temple of Isis.",sacred buildings
The Paris Meridian and the North,2,Paris Observatory,Trailhead (Tour Saint-Jacques),trailhead,48.8569,2.3497,,€,Trailhead / parking for Tour Saint-Jacques.,other
The Paris Meridian and the North,3,"Saint-Sulpice, Paris",Saint-Sulpice,main,48.8508,2.3342,,Metro Saint-Sulpice,"Over the centuries many have seen a hidden meaning in the design and decoration of the vast Église Saint-Sulpice, which is comparable in size to Notre Dame and was designed to rival the great cathedral by its founder, parish priest and mystic Jean-Jacques Olier. It replaced earlier churches dedicated to St Sulpice and took almost a century to build. The 20 chapels around its soaring 30m-high interior are filled with acclaimed paintings and sculptures. Especially significant is the Chapelle des Saints-Anges where Eugène Delacroix painted three murals featuring angels in the 1840s. Several esoteric writers believe hidden meanings are encoded in these murals, and for some they are linked with the mysteries surrounding Rennes-le-Château and Rennes-les-Bains (see ppxxx and xxx) in the Languedoc. Saint-Sulpice is also famous for its meridian, a brass line set into a marble band marking out a north–south line, similar to that laid out in the Paris Observatory. A beam of sunlight shining through a small opening in one of the south windows forms an oval on the floor, which crosses the line at midday. Golden discs mark the spring and autumn equinoxes and a marble plaque on the floor close to the window indicates the summer solstice. As autumn progresses, the light climbs an Egyptian-style obelisk set against the far wall until it reaches a point marking the winter solstice. The meridian features in the novel and movie of The Da Vinci Code. For a time in the 1700s Saint-Sulpice's north–south line was considered Paris' second meridian after the observatory's, which is some 100m east. Intriguingly, Saint-Sulpice's meridian passes directly through Bourges (see ppxxx), nearly 200km to the south. St Sulpice, a celebrated holy man of the Merovingian era, was Archbishop of Bourges and credited with many miracles. His feast day falls on the day of his death, 17 January – a date that recurs in the mysteries of Rennes-le-Château.",sacred buildings
The Paris Meridian and the North,3,"Saint-Sulpice, Paris",Trailhead Parking,trailhead,48.8486,2.3256,,underground parking €€; 800m,Trailhead / parking for Saint-Sulpice (800m).,sacred buildings
The Paris Meridian and the North,4,"Notre-Dame-du-Fort, Étampes",Notre-Dame-du-Fort,main,48.4350,2.1642,,Parking Outside €,"Among the remarkable interior décor and statuary in this imposing church is a little-known Black Madonna sculpted in stone, which dates from the 1600s. There's also an especially elegant coloured statue of Archangel Michael defeating the dragon, a scene also depicted in one of the stained-glass windows. Founded in the 1020s, the church was originally associated with the nearby castle. It was completely rebuilt a century later and fortified a century after that during the Hundred Years War with England, hence its name 'Our Lady of the Fort'. The crypt of the original church remains, the stone columns and painted ceilings giving it a cave-like atmosphere. Étampes lies directly east of the great cathedral of Chartres and is on the Via Turonensis, one of the routes of the Camino de Santiago to Spain that begins near the Paris Observatory, 40km to the north. There are a number of medieval remains in the town, most strikingly the tower, Tour de Guinette, the only surviving part of the castle. The Bastille des Portereaux and the Wolf's Tower are part of the medieval ramparts. A huge menhir that once served as a boundary stone known as the 'Pierrefitte', can be seen just outside Étampes in the hamlet named after it. The stone is a towering 4.2m with a further 1.5m underground.",sacred buildings
The Paris Meridian and the North,4,"Notre-Dame-du-Fort, Étampes",Tour de Guinette,nearby_feature,48.4372,2.1583,,only surviving part of the castle,"There are a number of medieval remains in the town, most strikingly the tower, Tour de Guinette, the only surviving part of the castle.",other
The Paris Meridian and the North,4,"Notre-Dame-du-Fort, Étampes",Bastille des Portereaux,nearby_feature,48.4286,2.1514,,part of the medieval ramparts,The Bastille des Portereaux and the Wolf's Tower are part of the medieval ramparts.,other
The Paris Meridian and the North,4,"Notre-Dame-du-Fort, Étampes",The Wolf's Tower,nearby_feature,48.4305,2.1540,,part of the medieval ramparts,The Bastille des Portereaux and the Wolf's Tower are part of the medieval ramparts.,other
The Paris Meridian and the North,4,"Notre-Dame-du-Fort, Étampes",The 'Pierrefitte' (Pierre-Fixe),nearby_feature,48.4289,2.1058,,menhir just outside Étampes,"A huge menhir that once served as a boundary stone known as the 'Pierrefitte', can be seen just outside Étampes in the hamlet named after it. The stone is a towering 4.2m with a further 1.5m underground.",standing stones
The Paris Meridian and the North,4,"Notre-Dame-du-Fort, Étampes",Trailhead (Pierrefitte),trailhead,48.4292,2.1053,,80m,Trailhead / parking for the 'Pierrefitte' (80m).,sacred buildings
