region,listing_no,listing_title,point_name,point_type,latitude,longitude,os_grid_ref,access_notes,description,category
West Penwith,1,"Alsia Well, St Buryan",Alsia Well,main,50.0691,-5.6446,SW392251,Secret / Secluded,"Tucked away in the corner of a field behind the small hamlet of Alsia Mill, Alsia Well is secluded and little visited. A few ribbons and offerings are left there by others who have been lucky enough to discover its hidden location. Like Madron Well and St Euny's Well, parents and children visited Alsia Well on the first three Wednesdays in May to seek a cure for their sick and disabled offspring. Divination rituals, often concerning marriage prospects, included counting the bubbles after a pin or stone was thrown in the water",wells
West Penwith,1,"Alsia Well, St Buryan",Trailhead,trailhead,50.0705,-5.6428,SW394252,300m,Trailhead / parking for Alsia Well (300m).,wells
West Penwith,2,"Boscawen-ûn Stone Circle, Crows-an-Wra",Boscawen-ûn Stone Circle,main,50.0898,-5.6192,SW412273,,"The 19 stones of this circle are, according to legend, the petrified forms of young women who were turned to stone while dancing on the Sabbath. Reached by a narrow trackway, the circle is contained within a network of small fields and high hedgerows and, uniquely, has a central stone set at a sharp angle. The trackway is said to be an ancient processional route of the Druids who performed rituals at Boscawen-ûn, one of the few stone circles in the country with a recorded history. It was mentioned in the Welsh triads as one of the three British gorsedds (bardic or druidic meeting places). Step back in time and follow in the footsteps of the druids as you take the ancient track to the stone circle, hidden within its hedged enclosure. This powerful centre of ley energies has many mysteries, including one stone made entirely of white quartz. On a nearby outcrop of rock just north of Boscawen-ûn, known as Creeg Tol are indentations said to be a giant's footprints. Its proximity to Boscawen-ûn, which can clearly be seen on the slopes below, may indicate some ancient ritual connection between the two.",stone circles
West Penwith,2,"Boscawen-ûn Stone Circle, Crows-an-Wra",Creeg Tol,nearby_feature,50.0916,-5.6217,SW410275,Giant's footprints; outcrop just north of the circle,"On a nearby outcrop of rock just north of Boscawen-ûn, known as Creeg Tol, are indentations said to be a giant's footprints. Its proximity to Boscawen-ûn, which can clearly be seen on the slopes below, may indicate some ancient ritual connection between the two.",natural stones
West Penwith,2,"Boscawen-ûn Stone Circle, Crows-an-Wra",Trailhead Parking,trailhead,50.0934,-5.6124,SW417277,900m,Trailhead / parking for Boscawen-ûn Stone Circle (900m).,stone circles
West Penwith,3,"Bosence Chapel, Sancreed",Bosence Chapel,main,50.1177,-5.6293,SW406304,Private Land; Secret / Secluded,"Tiny Bosence Chapel now lies in ruins but legends of hauntings and unearthly lights hovering above it survive, such as the tale of Uter Bosence. One midsummer's night Uter was crossing a field when thick fog suddenly descended. He made his way to the familiar gap in the hedge, but unable to find it he tried to climb the hedge, which seemed to grow higher and higher. In desperation he got down and followed the hedge towards the old chapel where he saw the most frightful apparition of 'sprites and spriggans'. Terrified, he tried to flee but an unseen presence like a powerful wind sent him rolling down the field, tossing him over a hedge and pushing him through brambles, furze and bogs. Today, the chapel is a tranquil place, its ruins hidden by trees and wildflowers. Enjoy the peace there and commune with spirits of nature and ancient Celtic spirituality, but be aware that the location retains a sinister edge, especially at night!",sacred buildings
West Penwith,3,"Bosence Chapel, Sancreed",Trailhead,trailhead,50.1135,-5.6247,SW409300,1km,Trailhead / parking for Bosence Chapel (1km).,sacred buildings
West Penwith,4,"Carn Galver, Porthmeor",Carn Galver,main,50.1707,-5.6061,SW425363,,The rocky tor known as Carn Galver overlooks the ocean and contains an ancient Neolithic tor enclosure that was once home to a friendly giant called Holiburn. He protected the local people by launching rocks at the troublesome giants of Trencrom Hill. Many local landscape features are said to be his handiwork including piles of boulders and logan stones that he used for rocking himself to sleep. Holiburn befriended a local lad and the two liked to play quoits but their games came to an end when the giant patted the boy on the head and his skull caved in like a pie crust.,natural stones
West Penwith,4,"Carn Galver, Porthmeor",Trailhead Parking,trailhead,50.1717,-5.6127,SW421364,600m,Trailhead / parking for Carn Galver (600m).,natural stones
West Penwith,5,"Castle-an-Dinas, Nancledra",Castle-an-Dinas,main,50.161637,-5.522961,SW484350,,"Some say the old giant Denbras made his home at Castle-an-Dinas before he was killed by Long Tom in single combat. Long Tom was transporting ale in his cart from Marazion to St Ives when he disputed Denbras' right to block the roads with his hedges. After his victory, Tom took possession of the stronghold but continued to keep the roads blocked so was challenged in turn by Jack the Hammer. When the battle resulted in stalemate, the two decided to live together at Castle-an-Dinas. Jack eventually married Tom's eldest daughter on the feast of Lughnasa and moved away to build Chûn Castle. In other stories, fairies were said to hold their fairs inside the enclosure. The remains of this Iron Age ring fort, which had two concentric stone ramparts, are now so overgrown with vegetation that the original stonework is hardly visible. Much more prominent are a turreted, ruined folly on the edge of the fort called Rogers' Tower and the working quarries situated nearby.",hillforts
